location_id,classification,reason,non_bsl_code,location_type,financial_type,evidence_type,provider_id,technology,program,challenge_id,notes
1050915436,0,3,,,,,,,,,
1050915459,0,3,,,,,,,,,
1050915469,0,3,,,,,,,,,
1050915515,0,3,,,,,,,,,
1050915516,0,3,,,,,,,,,
1050915529,0,3,,,,,,,,,
1050915540,0,3,,,,,,,,,
1050915560,0,3,,,,,,,,,
1050915609,0,3,,,,,,,,,
1050915613,0,3,,,,,,,,,
1050915626,0,3,,,,,,,,,
1050915646,0,3,,,,,,,,,
1050915691,1,3,,,,,,,,,
1050915761,0,3,,,,,,,,,
1050915767,0,3,,,,,,,,,
1050915770,0,3,,,,,,,,,
1050915805,0,3,,,,,,,,,
1050915878,0,3,,,,,,,,,
1050915886,0,3,,,,,,,,,
1050915890,0,3,,,,,,,,,
1050915919,0,3,,,,,,,,,
1050915945,0,3,,,,,,,,,
1050915955,0,3,,,,,,,,,
1050915985,0,3,,,,,,,,,
1050915987,0,3,,,,,,,,,
1050915994,0,3,,,,,,,,,
1050916001,0,3,,,,,,,,,
1050916017,0,3,,,,,,,,,
1050916024,0,3,,,,,,,,,
1050916043,0,3,,,,,,,,,
1050916050,0,3,,,,,,,,,
1050916130,0,3,,,,,,,,,
1050916142,0,3,,,,,,,,,
1050916174,0,3,,,,,,,,,
1050916180,0,3,,,,,,,,,
1050916190,0,3,,,,,,,,,
1050916202,0,3,,,,,,,,,
1050916208,0,3,,,,,,,,,
1050916274,0,3,,,,,,,,,
1050916284,0,3,,,,,,,,,
1050916306,0,3,,,,,,,,,
1050916341,0,3,,,,,,,,,
1050916361,0,3,,,,,,,,,
1050916428,0,3,,,,,,,,,
1050916431,0,3,,,,,,,,,
1050916452,0,3,,,,,,,,,
1050916482,0,3,,,,,,,,,
1050916554,0,3,,,,,,,,,
1050916583,0,3,,,,,,,,,
1050916641,0,3,,,,,,,,,
1050916686,0,3,,,,,,,,,
1050916716,0,3,,,,,,,,,
1050916725,0,3,,,,,,,,,
1050916778,0,3,,,,,,,,,
1050916784,0,3,,,,,,,,,
1050916869,0,3,,,,,,,,,
1050916880,0,3,,,,,,,,,
1050916939,0,3,,,,,,,,,
1050916969,0,3,,,,,,,,,
1050916986,0,3,,,,,,,,,
1050916992,0,3,,,,,,,,,
1050917002,0,3,,,,,,,,,
1050917082,0,3,,,,,,,,,
1050917105,0,3,,,,,,,,,
1050917189,0,3,,,,,,,,,
1050917234,0,3,,,,,,,,,
1050917236,0,3,,,,,,,,,
1050917248,0,3,,,,,,,,,
1050917249,0,3,,,,,,,,,
1050917251,0,3,,,,,,,,,
1050917270,0,3,,,,,,,,,
1050917272,0,3,,,,,,,,,
1050917301,0,3,,,,,,,,,
1050917314,0,3,,,,,,,,,
1050917331,0,3,,,,,,,,,
1050917344,0,3,,,,,,,,,
1050917396,0,3,,,,,,,,,
1050917430,0,3,,,,,,,,,
1050917464,0,3,,,,,,,,,
1050917467,0,3,,,,,,,,,
1050917490,0,3,,,,,,,,,
1050917528,0,3,,,,,,,,,
1050917540,0,3,,,,,,,,,
1050917553,0,3,,,,,,,,,
1050917577,0,3,,,,,,,,,
1050917596,0,3,,,,,,,,,
1050917745,0,3,,,,,,,,,
1050917833,0,3,,,,,,,,,
1050917837,0,3,,,,,,,,,
1050917866,0,3,,,,,,,,,
1050917881,0,3,,,,,,,,,
1050917882,0,3,,,,,,,,,
1050917922,0,3,,,,,,,,,
1050917983,0,3,,,,,,,,,
1050917984,0,3,,,,,,,,,
1050917985,0,3,,,,,,,,,
1050917994,0,3,,,,,,,,,
1050918010,0,3,,,,,,,,,
1050918016,0,3,,,,,,,,,
1050918037,0,3,,,,,,,,,
1050918084,0,3,,,,,,,,,
1050918105,0,3,,,,,,,,,
1050918126,1,3,,,,,,,,,
1050918186,0,3,,,,,,,,,
1050918198,0,3,,,,,,,,,
1050918232,0,3,,,,,,,,,
1050918238,0,3,,,,,,,,,
1050918249,0,3,,,,,,,,,
1050918280,0,3,,,,,,,,,
1050918289,0,3,,,,,,,,,
1050918309,0,3,,,,,,,,,
