location_id,project_id,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency
1014489580,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014489582,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014489587,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014489597,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014489598,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014489602,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014489603,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014489606,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014489607,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014489628,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014489629,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014490277,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014490280,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014490281,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014490299,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014490391,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014490399,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014490414,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014490415,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014490435,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014490447,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014490449,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014490455,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014490465,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492480,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492483,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492487,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014492488,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492489,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492491,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492496,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492497,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492498,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492506,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014492512,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492513,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492514,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492519,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492530,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014492532,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492533,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492538,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014492711,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014493824,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014493846,CM61-BEAD-LA-136-3004,1,50,50,200,1
1014493861,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014493930,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014493935,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014493955,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014493961,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014493963,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014493973,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014493997,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014493998,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014493999,CM61-BEAD-LA-136-3004,0,50,50,200,1
1014494000,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063525739,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063525741,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063525744,CM61-BEAD-LA-136-3004,1,50,50,200,1
1063525745,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063525746,CM61-BEAD-LA-136-3004,1,50,50,200,1
1063533736,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533737,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533741,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533746,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533751,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533753,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533755,CM61-BEAD-LA-136-3004,1,50,50,200,1
1063533758,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533760,CM61-BEAD-LA-136-3004,1,50,50,200,1
1063533762,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533763,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533764,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533770,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533771,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533772,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533775,CM61-BEAD-LA-136-3004,1,50,50,200,1
1063533776,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533778,CM61-BEAD-LA-136-3004,1,50,50,200,1
1063533779,CM61-BEAD-LA-136-3004,1,50,50,200,1
1063533782,CM61-BEAD-LA-136-3004,1,50,50,200,1
1063533784,CM61-BEAD-LA-136-3004,1,50,50,200,1
1063533788,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533791,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063533794,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063536075,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063536078,CM61-BEAD-LA-136-3004,0,50,50,200,1
1063539539,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077406502,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077406539,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077406557,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077406569,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077406573,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077406574,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077406584,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077406622,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077406628,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077406629,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077406632,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077406639,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077406641,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077406642,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407031,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407103,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407172,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407265,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407269,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407333,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407388,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407389,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407490,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407492,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407493,CM61-BEAD-LA-136-3004,1,50,50,200,1
1077407497,CM61-BEAD-LA-136-3004,0,50,50,200,1
1077407501,CM61-BEAD-LA-136-3004,0,50,50,200,1
