location_id,classification,reason,non_bsl_code,location_type,evidence_type,provider_id,technology,program,fabric,challenge_id,notes
1393882314,1,4,,,,130252.0,50.0,TBCP1,,,
1393882316,1,4,,,,130252.0,50.0,TBCP1,,,
1393882317,1,4,,,,130252.0,50.0,TBCP1,,,
1393882318,1,4,,,,130252.0,50.0,TBCP1,,,
1393882320,1,4,,,,130252.0,50.0,TBCP1,,,
1393882321,1,4,,,,130252.0,50.0,TBCP1,,,
1393882319,1,4,,,,130252.0,50.0,TBCP1,,,
1393882322,1,4,,,,130252.0,50.0,TBCP1,,,
1393882323,1,4,,,,130252.0,50.0,TBCP1,,,
1393882324,1,4,,,,130252.0,50.0,TBCP1,,,
1393882328,1,4,,,,130252.0,50.0,TBCP1,,,
1393882327,1,4,,,,130252.0,50.0,TBCP1,,,
1393882326,1,4,,,,130252.0,50.0,TBCP1,,,
1393882325,1,4,,,,130252.0,50.0,TBCP1,,,
1393882329,1,4,,,,130252.0,50.0,TBCP1,,,
1393882331,1,4,,,,130252.0,50.0,TBCP1,,,
1393882330,1,4,,,,130252.0,50.0,TBCP1,,,
1393882332,1,4,,,,130252.0,50.0,TBCP1,,,
1393882333,1,4,,,,130252.0,50.0,TBCP1,,,
1393882334,1,4,,,,130252.0,50.0,TBCP1,,,
1393882335,1,4,,,,130252.0,50.0,TBCP1,,,
1393882338,1,4,,,,130252.0,50.0,TBCP1,,,
1393882336,1,4,,,,130252.0,50.0,TBCP1,,,
1393882337,1,4,,,,130252.0,50.0,TBCP1,,,
1393882339,1,4,,,,130252.0,50.0,TBCP1,,,
1393882343,1,4,,,,130252.0,50.0,TBCP1,,,
1393882340,1,4,,,,130252.0,50.0,TBCP1,,,
1393882341,1,4,,,,130252.0,50.0,TBCP1,,,
1393882342,1,4,,,,130252.0,50.0,TBCP1,,,
1393882344,1,4,,,,130252.0,50.0,TBCP1,,,
1393882358,1,4,,,,130252.0,50.0,TBCP1,,,
1393882359,1,4,,,,130252.0,50.0,TBCP1,,,
1393882360,1,4,,,,130252.0,50.0,TBCP1,,,
1393882368,1,4,,,,130252.0,50.0,TBCP1,,,
1393882406,1,4,,,,130252.0,50.0,TBCP1,,,
1393882369,1,4,,,,130252.0,50.0,TBCP1,,,
1393882407,1,4,,,,130252.0,50.0,TBCP1,,,
1393882371,1,4,,,,130252.0,50.0,TBCP1,,,
1393882370,1,4,,,,130252.0,50.0,TBCP1,,,
1393882375,1,4,,,,130252.0,50.0,TBCP1,,,
1393882372,1,4,,,,130252.0,50.0,TBCP1,,,
1393882382,1,4,,,,130252.0,50.0,TBCP1,,,
1393882373,1,4,,,,130252.0,50.0,TBCP1,,,
1393882379,1,4,,,,130252.0,50.0,TBCP1,,,
1393882377,1,4,,,,130252.0,50.0,TBCP1,,,
1393882381,1,4,,,,130252.0,50.0,TBCP1,,,
1393882378,1,4,,,,130252.0,50.0,TBCP1,,,
1393882361,1,4,,,,130252.0,50.0,TBCP1,,,
1137090202,1,4,,,,130252.0,50.0,TBCP1,,,
1137089339,1,4,,,,130252.0,50.0,TBCP1,,,
1393882362,1,4,,,,130252.0,50.0,TBCP1,,,
1393882393,1,4,,,,130252.0,50.0,TBCP1,,,
1393882385,1,4,,,,130252.0,50.0,TBCP1,,,
1393882363,1,4,,,,130252.0,50.0,TBCP1,,,
1393882390,1,4,,,,130252.0,50.0,TBCP1,,,
1393882389,1,4,,,,130252.0,50.0,TBCP1,,,
1393882392,1,4,,,,130252.0,50.0,TBCP1,,,
1393882395,1,4,,,,130252.0,50.0,TBCP1,,,
1393882399,1,4,,,,130252.0,50.0,TBCP1,,,
1393882400,1,4,,,,130252.0,50.0,TBCP1,,,
1393882401,1,4,,,,130252.0,50.0,TBCP1,,,
1393882405,1,4,,,,130252.0,50.0,TBCP1,,,
1393882403,1,4,,,,130252.0,50.0,TBCP1,,,
1393882367,1,4,,,,130252.0,50.0,TBCP1,,,
1393882396,1,4,,,,130252.0,50.0,TBCP1,,,
1393882383,1,4,,,,130252.0,50.0,TBCP1,,,
1393882384,1,4,,,,130252.0,50.0,TBCP1,,,
1393882387,1,4,,,,130252.0,50.0,TBCP1,,,
1393882374,1,4,,,,130252.0,50.0,TBCP1,,,
1393882402,1,4,,,,130252.0,50.0,TBCP1,,,
1393882386,1,4,,,,130252.0,50.0,TBCP1,,,
1137090539,1,4,,,,130252.0,50.0,TBCP1,,,
1393882394,1,4,,,,130252.0,50.0,TBCP1,,,
1393882376,1,4,,,,130252.0,50.0,TBCP1,,,
1393882388,1,4,,,,130252.0,50.0,TBCP1,,,
1393882398,1,4,,,,130252.0,50.0,TBCP1,,,
1393882391,1,4,,,,130252.0,50.0,TBCP1,,,
1393882404,1,4,,,,130252.0,50.0,TBCP1,,,
1393882357,1,4,,,,130252.0,50.0,TBCP1,,,
1393882346,1,4,,,,130252.0,50.0,TBCP1,,,
1393882347,1,4,,,,130252.0,50.0,TBCP1,,,
1137089828,1,4,,,,130252.0,50.0,TBCP1,,,
1393882467,1,4,,,,130252.0,50.0,TBCP1,,,
1393882348,1,4,,,,130252.0,50.0,TBCP1,,,
1393882349,1,4,,,,130252.0,50.0,TBCP1,,,
1393882468,1,4,,,,130252.0,50.0,TBCP1,,,
1393882350,1,4,,,,130252.0,50.0,TBCP1,,,
1393882469,1,4,,,,130252.0,50.0,TBCP1,,,
1393882351,1,4,,,,130252.0,50.0,TBCP1,,,
1393882352,1,4,,,,130252.0,50.0,TBCP1,,,
1393882354,1,4,,,,130252.0,50.0,TBCP1,,,
1393882353,1,4,,,,130252.0,50.0,TBCP1,,,
1137090533,1,4,,,,130252.0,50.0,TBCP1,,,
1393882471,1,4,,,,130252.0,50.0,TBCP1,,,
1393882473,1,4,,,,130252.0,50.0,TBCP1,,,
1393882472,1,4,,,,130252.0,50.0,TBCP1,,,
1393882474,1,4,,,,130252.0,50.0,TBCP1,,,
1393882475,1,4,,,,130252.0,50.0,TBCP1,,,
1393882408,1,4,,,,130252.0,50.0,TBCP1,,,
1393882409,1,4,,,,130252.0,50.0,TBCP1,,,
1137089720,1,4,,,,130252.0,50.0,TBCP1,,,
1393882292,1,4,,,,130252.0,50.0,TBCP1,,,
1393882293,1,4,,,,130252.0,50.0,TBCP1,,,
1393882300,1,4,,,,130252.0,50.0,TBCP1,,,
1393882554,1,4,,,,130252.0,50.0,TBCP1,,,
1393882298,1,4,,,,130252.0,50.0,TBCP1,,,
1393882555,1,4,,,,130252.0,50.0,TBCP1,,,
1393882284,1,4,,,,130252.0,50.0,TBCP1,,,
1393882282,1,4,,,,130252.0,50.0,TBCP1,,,
1393880756,0,4,,,,130252.0,50.0,TBCP1,,,
1393882277,1,4,,,,130252.0,50.0,TBCP1,,,
1393882295,1,4,,,,130252.0,50.0,TBCP1,,,
1393882286,1,4,,,,130252.0,50.0,TBCP1,,,
1393882274,1,4,,,,130252.0,50.0,TBCP1,,,
1393882276,1,4,,,,130252.0,50.0,TBCP1,,,
1393882272,1,4,,,,130252.0,50.0,TBCP1,,,
1393882297,1,4,,,,130252.0,50.0,TBCP1,,,
1393882552,1,4,,,,130252.0,50.0,TBCP1,,,
1393882283,1,4,,,,130252.0,50.0,TBCP1,,,
1393882296,1,4,,,,130252.0,50.0,TBCP1,,,
1393882294,1,4,,,,130252.0,50.0,TBCP1,,,
1393882280,1,4,,,,130252.0,50.0,TBCP1,,,
1393882279,1,4,,,,130252.0,50.0,TBCP1,,,
1137089572,1,4,,,,130252.0,50.0,TBCP1,,,
1393882275,1,4,,,,130252.0,50.0,TBCP1,,,
1393882533,1,4,,,,130252.0,50.0,TBCP1,,,
1393882536,1,4,,,,130252.0,50.0,TBCP1,,,
1137089610,1,4,,,,130252.0,50.0,TBCP1,,,
1393882497,1,4,,,,130252.0,50.0,TBCP1,,,
1393882522,1,4,,,,130252.0,50.0,TBCP1,,,
1393882518,1,4,,,,130252.0,50.0,TBCP1,,,
1393882520,1,4,,,,130252.0,50.0,TBCP1,,,
1393882523,1,4,,,,130252.0,50.0,TBCP1,,,
